Constraint Name,Child Column,Parent Column,Delete Rule
DemandSalesMeasures_geography_id_fkey,DemandSalesMeasures.geography_id,Geographies.id,Restrict delete 
DemandSalesMeasures_input_type_id_fkey,DemandSalesMeasures.input_type_id,InputTypes.id,Restrict delete 
DemandSalesMeasures_interpolation_method_id_fkey,DemandSalesMeasures.interpolation_method_id,CleaningMethods.id,Restrict delete 
DemandSalesMeasures_other_index_1_id_fkey,DemandSalesMeasures.other_index_1_id,OtherIndexes.id,Restrict delete 
DemandSalesMeasures_replaced_demand_tech_id_fkey,DemandSalesMeasures.replaced_demand_tech_id,DemandTechs.id,Restrict delete 
DemandSalesMeasures_subsector_id_fkey,DemandSalesMeasures.subsector_id,DemandSubsectors.id,Restrict delete 
DemandSalesMeasuresData_gau_id_fkey,DemandSalesMeasuresData.gau_id,GeographiesData.id,Restrict delete 
DemandSalesMeasuresData_oth_1_id_fkey,DemandSalesMeasuresData.oth_1_id,OtherIndexesData.id,Restrict delete 
DemandSalesMeasuresData_parent_id_fkey,DemandSalesMeasuresData.parent_id,DemandSalesMeasures.id,Cascade on delete 
DemandServiceDemandMeasurePackages_subsector_id_fkey,DemandServiceDemandMeasurePackages.subsector_id,DemandSubsectors.id,Restrict delete 
DemandServiceDemandMeasurePackagesData_measure_id_fkey,DemandServiceDemandMeasurePackagesData.measure_id,DemandServiceDemandMeasures.id,Restrict delete 
DemandServiceDemandMeasurePackagesData_package_id_fkey,DemandServiceDemandMeasurePackagesData.package_id,DemandServiceDemandMeasurePackages.id,Cascade on delete 
DemandServiceDemandMeasures_extrapolation_method_id_fkey,DemandServiceDemandMeasures.extrapolation_method_id,CleaningMethods.id,Restrict delete 
DemandServiceDemandMeasures_geography_id_fkey,DemandServiceDemandMeasures.geography_id,Geographies.id,Restrict delete 
DemandServiceDemandMeasures_input_type_id_fkey,DemandServiceDemandMeasures.input_type_id,InputTypes.id,Restrict delete 
DemandServiceDemandMeasures_interpolation_method_id_fkey,DemandServiceDemandMeasures.interpolation_method_id,CleaningMethods.id,Restrict delete 
DemandServiceDemandMeasures_other_index_1_id_fkey,DemandServiceDemandMeasures.other_index_1_id,OtherIndexes.id,Restrict delete 
DemandServiceDemandMeasures_other_index_2_id_fkey,DemandServiceDemandMeasures.other_index_2_id,OtherIndexes.id,Restrict delete 
DemandServiceDemandMeasures_stock_decay_function_id_fkey,DemandServiceDemandMeasures.stock_decay_function_id,StockDecayFunctions.id,Restrict delete 
DemandServiceDemandMeasures_subsector_id_fkey,DemandServiceDemandMeasures.subsector_id,DemandSubsectors.id,Restrict delete 
DemandServiceDemandMeasuresCost_currency_id_fkey,DemandServiceDemandMeasuresCost.currency_id,Currencies.id,Restrict delete 
DemandServiceDemandMeasuresCost_currency_year_id_fkey,DemandServiceDemandMeasuresCost.currency_year_id,CurrencyYears.id,Restrict delete 
DemandServiceDemandMeasuresCost_extrapolation_method_id_fkey,DemandServiceDemandMeasuresCost.extrapolation_method_id,CleaningMethods.id,Restrict delete 
DemandServiceDemandMeasuresCost_geography_id_fkey,DemandServiceDemandMeasuresCost.geography_id,Geographies.id,Restrict delete 
DemandServiceDemandMeasuresCost_interpolation_method_id_fkey,DemandServiceDemandMeasuresCost.interpolation_method_id,CleaningMethods.id,Restrict delete 
DemandServiceDemandMeasuresCost_other_index_1_id_fkey,DemandServiceDemandMeasuresCost.other_index_1_id,OtherIndexes.id,Restrict delete 
DemandServiceDemandMeasuresCost_other_index_2_id_fkey,DemandServiceDemandMeasuresCost.other_index_2_id,OtherIndexes.id,Restrict delete 
DemandServiceDemandMeasuresCost_parent_id_fkey,DemandServiceDemandMeasuresCost.parent_id,DemandServiceDemandMeasures.id,Cascade on delete 
DemandServiceDemandMeasuresCostData_gau_id_fkey,DemandServiceDemandMeasuresCostData.gau_id,GeographiesData.id,Restrict delete 
DemandServiceDemandMeasuresCostData_oth_1_id_fkey,DemandServiceDemandMeasuresCostData.oth_1_id,OtherIndexesData.id,Restrict delete 
DemandServiceDemandMeasuresCostData_oth_2_id_fkey,DemandServiceDemandMeasuresCostData.oth_2_id,OtherIndexesData.id,Restrict delete 
DemandServiceDemandMeasuresCostData_parent_id_fkey,DemandServiceDemandMeasuresCostData.parent_id,DemandServiceDemandMeasures.id,Cascade on delete 
DemandServiceDemandMeasuresData_gau_id_fkey,DemandServiceDemandMeasuresData.gau_id,GeographiesData.id,Restrict delete 
DemandServiceDemandMeasuresData_oth_1_id_fkey,DemandServiceDemandMeasuresData.oth_1_id,OtherIndexesData.id,Restrict delete 
DemandServiceDemandMeasuresData_oth_2_id_fkey,DemandServiceDemandMeasuresData.oth_2_id,OtherIndexesData.id,Restrict delete 
DemandServiceDemandMeasuresData_parent_id_fkey,DemandServiceDemandMeasuresData.parent_id,DemandServiceDemandMeasures.id,Cascade on delete 
DemandServiceDemands_driver_1_id_fkey,DemandServiceDemands.driver_1_id,DemandDrivers.id,Restrict delete 
DemandServiceDemands_driver_2_id_fkey,DemandServiceDemands.driver_2_id,DemandDrivers.id,Restrict delete 
DemandServiceDemands_driver_denominator_1_id_fkey,DemandServiceDemands.driver_denominator_1_id,DemandDrivers.id,Restrict delete 
DemandServiceDemands_driver_denominator_2_id_fkey,DemandServiceDemands.driver_denominator_2_id,DemandDrivers.id,Restrict delete 
DemandServiceDemands_extrapolation_method_id_fkey,DemandServiceDemands.extrapolation_method_id,CleaningMethods.id,Restrict delete 
DemandServiceDemands_geography_id_fkey,DemandServiceDemands.geography_id,Geographies.id,Restrict delete 
DemandServiceDemands_geography_map_key_id_fkey,DemandServiceDemands.geography_map_key_id,GeographyMapKeys.id,Restrict delete 
DemandServiceDemands_input_type_id_fkey,DemandServiceDemands.input_type_id,InputTypes.id,Restrict delete 
DemandServiceDemands_interpolation_method_id_fkey,DemandServiceDemands.interpolation_method_id,CleaningMethods.id,Restrict delete 
DemandServiceDemands_other_index_1_id_fkey,DemandServiceDemands.other_index_1_id,OtherIndexes.id,Restrict delete 
DemandServiceDemands_other_index_2_id_fkey,DemandServiceDemands.other_index_2_id,OtherIndexes.id,Restrict delete 
DemandServiceDemands_subsector_id_fkey,DemandServiceDemands.subsector_id,DemandSubsectors.id,Restrict delete 
DemandServiceDemandsData_demand_technology_id_fkey,DemandServiceDemandsData.demand_technology_id,DemandTechs.id,Restrict delete 
DemandServiceDemandsData_final_energy_id_fkey,DemandServiceDemandsData.final_energy_id,FinalEnergy.id,Restrict delete 
DemandServiceDemandsData_gau_id_fkey,DemandServiceDemandsData.gau_id,GeographiesData.id,Restrict delete 
DemandServiceDemandsData_oth_1_id_fkey,DemandServiceDemandsData.oth_1_id,OtherIndexesData.id,Restrict delete 
DemandServiceDemandsData_oth_2_id_fkey,DemandServiceDemandsData.oth_2_id,OtherIndexesData.id,Restrict delete 
DemandServiceDemandsData_subsector_id_fkey,DemandServiceDemandsData.subsector_id,DemandServiceDemands.subsector_id,Restrict delete 
DemandServiceEfficiency_extrapolation_method_id_fkey,DemandServiceEfficiency.extrapolation_method_id,CleaningMethods.id,Restrict delete 
