timepoint,technology,region,power,charging,state_of_charge,goal_state_of_charge_start,goal_state_of_charge_end
23,"(91, 62L, 2L, 64L, 1983L)",2,71776.2,,,,
23,"(91, 62L, 3L, 64L, 1983L)",3,277778,,,,
24,"(3, 33, 0, 46)",3,0,11376.9,93165,20371.8,8994.9
24,"(3, 33, 0, 47)",3,0,4663.36,0,,
24,"(2, 33, 0, 46)",2,0,0,10.8299,10.8299,5.41495
24,"(1, 33, 0, 66)",1,0,0,0,,
24,"(1, 33, 0, 46)",1,0,0,72473.9,72473.9,34801.59999999999
24,"(1, 33, 0, 47)",1,0,0,0,,
24,"(2, 33, 0, 47)",2,0,0,0,,
24,"(13, 56L, 1L, 25L, 1990L)",1,27777.8,,,,
24,"(91, 63L, 3L, 64L, 1982L)",3,27777.8,,,,
24,"(91, 62L, 2L, 64L, 2003L)",2,27777.8,,,,
24,"(13, 61L, 1L, 25L, 2002L)",1,277778,,,,
24,"(91, 62L, 2L, 64L, 1983L)",2,52647.7,,,,
24,"(91, 62L, 3L, 64L, 1983L)",3,249017,,,,
25,"(3, 33, 0, 46)",3,0,11376.9,103030,20371.8,8994.9
25,"(3, 33, 0, 47)",3,0,4663.36,4043.64,,
25,"(2, 33, 0, 46)",2,0,0,10.8299,10.8299,5.41495
25,"(1, 33, 0, 66)",1,0,0,0,,
25,"(1, 33, 0, 46)",1,0,0,72473.9,72473.9,34801.59999999999
25,"(1, 33, 0, 47)",1,0,0,0,,
25,"(2, 33, 0, 47)",2,0,0,0,,
25,"(13, 56L, 1L, 25L, 1990L)",1,27777.8,,,,
25,"(91, 63L, 3L, 64L, 1982L)",3,27777.8,,,,
25,"(91, 62L, 2L, 64L, 2003L)",2,27777.8,,,,
25,"(13, 61L, 1L, 25L, 2002L)",1,277778,,,,
25,"(91, 62L, 2L, 64L, 1983L)",2,50909,,,,
25,"(91, 62L, 3L, 64L, 1983L)",3,207506,,,,
26,"(3, 33, 0, 46)",3,0,11376.9,112895,20371.8,8994.9
26,"(3, 33, 0, 47)",3,0,4663.36,8087.29,,
26,"(2, 33, 0, 46)",2,0,0,10.8299,10.8299,5.41495
26,"(1, 33, 0, 66)",1,0,0,0,,
26,"(1, 33, 0, 46)",1,0,0,72473.9,72473.9,34801.59999999999
26,"(1, 33, 0, 47)",1,0,0,0,,
26,"(2, 33, 0, 47)",2,0,0,0,,
26,"(13, 56L, 1L, 25L, 1990L)",1,27777.8,,,,
26,"(91, 63L, 3L, 64L, 1982L)",3,27777.8,,,,
26,"(91, 62L, 2L, 64L, 2003L)",2,27777.8,,,,
26,"(13, 61L, 1L, 25L, 2002L)",1,277778,,,,
26,"(91, 62L, 2L, 64L, 1983L)",2,42750.4,,,,
26,"(91, 62L, 3L, 64L, 1983L)",3,176602,,,,
27,"(3, 33, 0, 46)",3,0,11376.9,122760,20371.8,8994.9
27,"(3, 33, 0, 47)",3,0,2858.75,12130.9,,
27,"(2, 33, 0, 46)",2,0,0,10.8299,10.8299,5.41495
27,"(1, 33, 0, 66)",1,0,0,0,,
27,"(1, 33, 0, 46)",1,0,0,72473.9,72473.9,34801.59999999999
27,"(1, 33, 0, 47)",1,0,0,0,,
27,"(2, 33, 0, 47)",2,0,0,0,,
27,"(13, 56L, 1L, 25L, 1990L)",1,27777.8,,,,
27,"(91, 63L, 3L, 64L, 1982L)",3,27777.8,,,,
27,"(91, 62L, 2L, 64L, 2003L)",2,27777.8,,,,
27,"(13, 61L, 1L, 25L, 2002L)",1,277778,,,,
27,"(91, 62L, 2L, 64L, 1983L)",2,35075.1,,,,
27,"(91, 62L, 3L, 64L, 1983L)",3,178007,,,,
28,"(3, 33, 0, 46)",3,0,11376.9,132625,20371.8,8994.9
28,"(3, 33, 0, 47)",3,0,0,14609.8,,
28,"(2, 33, 0, 46)",2,0,0,10.8299,10.8299,5.41495
28,"(1, 33, 0, 66)",1,0,0,0,,
28,"(1, 33, 0, 46)",1,0,0,72473.9,72473.9,34801.59999999999
28,"(1, 33, 0, 47)",1,0,0,0,,
28,"(2, 33, 0, 47)",2,0,0,0,,
28,"(13, 56L, 1L, 25L, 1990L)",1,27777.8,,,,
28,"(91, 63L, 3L, 64L, 1982L)",3,27777.8,,,,
28,"(91, 62L, 2L, 64L, 2003L)",2,27777.8,,,,
28,"(13, 61L, 1L, 25L, 2002L)",1,277778,,,,
28,"(91, 62L, 2L, 64L, 1983L)",2,30762.6,,,,
28,"(91, 62L, 3L, 64L, 1983L)",3,156870,,,,
29,"(3, 33, 0, 46)",3,0,11376.9,142490,20371.8,8994.9
29,"(3, 33, 0, 47)",3,0,0,14609.8,,
29,"(2, 33, 0, 46)",2,0,0,10.8299,10.8299,5.41495
29,"(1, 33, 0, 66)",1,0,0,0,,
