census region,air conditioning type,housing types,technology,year,value
67,64,30,10,2013,0.0
67,64,30,10,2014,0.0
67,64,30,10,2015,0.0
67,64,30,10,2016,0.0
67,64,30,71,2000,0.0
67,64,30,71,2001,0.0
67,64,30,71,2002,0.0
67,64,30,71,2003,0.0
67,64,30,71,2004,0.0
67,64,30,71,2005,0.0
67,64,30,71,2006,0.0
67,64,30,71,2007,0.0
67,64,30,71,2008,0.0
67,64,30,71,2009,0.0
67,64,30,71,2010,0.0
67,64,30,71,2011,0.0
67,64,30,71,2012,0.0
67,64,30,71,2013,0.0
67,64,30,71,2014,0.0
67,64,30,71,2015,0.0
67,64,30,71,2016,0.0
68,63,28,4,2000,4652415.2183
68,63,28,4,2001,4712396.01937
68,63,28,4,2002,4772760.01274
68,63,28,4,2003,4833282.11194
68,63,28,4,2004,4898399.2582
68,63,28,4,2005,4967682.04415
68,63,28,4,2006,5037656.20693
68,63,28,4,2007,5110842.2412
68,63,28,4,2008,5175317.59284
68,63,28,4,2009,5234828.29098
68,63,28,4,2010,5291806.13764
68,63,28,4,2011,5344686.78105
68,63,28,4,2012,5397490.98942
68,63,28,4,2013,5451622.41545
68,63,28,4,2014,5507974.8279
68,63,28,4,2015,5569089.00377
68,63,28,4,2016,5631344.94769
68,63,28,10,2000,171758.101723
68,63,28,10,2001,173972.480194
68,63,28,10,2002,176200.560203
68,63,28,10,2003,178431.160908
68,63,28,10,2004,180822.621609
68,63,28,10,2005,183351.800353
68,63,28,10,2006,185882.308578
68,63,28,10,2007,188499.564075
68,63,28,10,2008,190757.970311
68,63,28,10,2009,192794.431002
68,63,28,10,2010,194703.379139
68,63,28,10,2011,196439.058432
68,63,28,10,2012,198169.205815
68,63,28,10,2013,199970.488176
68,63,28,10,2014,201902.499817
68,63,28,10,2015,204081.953257
68,63,28,10,2016,206388.494586
68,63,28,71,2000,770224.637245
68,63,28,71,2001,783523.046881
68,63,28,71,2002,796884.526323
68,63,28,71,2003,810271.902403
68,63,28,71,2004,824416.927511
68,63,28,71,2005,839250.243868
68,63,28,71,2006,854201.696058
68,63,28,71,2007,869689.884536
68,63,28,71,2008,883752.610885
68,63,28,71,2009,897008.047039
68,63,28,71,2010,909852.719119
68,63,28,71,2011,922015.416837
68,63,28,71,2012,934131.625673
68,63,28,71,2013,946387.293258
68,63,28,71,2014,958864.120363
68,63,28,71,2015,971897.810459
68,63,28,71,2016,984800.767202
68,63,29,4,2000,787364.941882
68,63,29,4,2001,797502.033594
68,63,29,4,2002,807703.961945
68,63,29,4,2003,817932.533085
68,63,29,4,2004,828938.466325
68,63,29,4,2005,840648.828058
68,63,29,4,2006,852475.337197
68,63,29,4,2007,864844.285623
68,63,29,4,2008,875737.68859
68,63,29,4,2009,885789.477475
68,63,29,4,2010,895411.395054
68,63,29,4,2011,904339.165429
68,63,29,4,2012,913254.055532
68,63,29,4,2013,922394.677422
68,63,29,4,2014,931913.493354
68,63,29,4,2015,942241.648691
68,63,29,4,2016,952767.329143
68,63,29,10,2000,0.0
68,63,29,10,2001,0.0
68,63,29,10,2002,0.0
68,63,29,10,2003,0.0
68,63,29,10,2004,0.0
68,63,29,10,2005,0.0
68,63,29,10,2006,0.0
68,63,29,10,2007,0.0
68,63,29,10,2008,0.0
68,63,29,10,2009,0.0
68,63,29,10,2010,0.0
68,63,29,10,2011,0.0
68,63,29,10,2012,0.0
68,63,29,10,2013,0.0
68,63,29,10,2014,0.0
68,63,29,10,2015,0.0
68,63,29,10,2016,0.0
68,63,29,71,2000,243553.973727
68,63,29,71,2001,247754.813618
68,63,29,71,2002,251975.592337
68,63,29,71,2003,256204.523249
68,63,29,71,2004,260672.937243
68,63,29,71,2005,265358.817464
68,63,29,71,2006,270081.773382
68,63,29,71,2007,274974.077858
68,63,29,71,2008,279415.175609
68,63,29,71,2009,283600.513647
68,63,29,71,2010,287655.52234
68,63,29,71,2011,291494.575538
68,63,29,71,2012,295318.862081
68,63,29,71,2013,299187.511211
68,63,29,71,2014,303126.743227
68,63,29,71,2015,307243.091417
68,63,29,71,2016,311319.416439
68,63,30,4,2000,582022.452899
68,63,30,4,2001,589613.214769
68,63,30,4,2002,597251.893376
68,63,30,4,2003,604910.258258
68,63,30,4,2004,613143.162153
68,63,30,4,2005,621896.742029
68,63,30,4,2006,630736.283378
68,63,30,4,2007,639976.939786
68,63,30,4,2008,648127.346068
68,63,30,4,2009,655656.047101
68,63,30,4,2010,662867.227578
68,63,30,4,2011,669565.179376
68,63,30,4,2012,676252.624129
68,63,30,4,2013,683104.602261
68,63,30,4,2014,690231.899581
68,63,30,4,2015,697950.766561
68,63,30,4,2016,705806.398305
68,63,30,10,2000,0.0
68,63,30,10,2001,0.0
68,63,30,10,2002,0.0
68,63,30,10,2003,0.0
68,63,30,10,2004,0.0
68,63,30,10,2005,0.0
68,63,30,10,2006,0.0
68,63,30,10,2007,0.0
68,63,30,10,2008,0.0
68,63,30,10,2009,0.0
68,63,30,10,2010,0.0
68,63,30,10,2011,0.0
68,63,30,10,2012,0.0
68,63,30,10,2013,0.0
68,63,30,10,2014,0.0
68,63,30,10,2015,0.0
68,63,30,10,2016,0.0
68,63,30,71,2000,0.0
68,63,30,71,2001,0.0
68,63,30,71,2002,0.0
68,63,30,71,2003,0.0
68,63,30,71,2004,0.0
68,63,30,71,2005,0.0
68,63,30,71,2006,0.0
68,63,30,71,2007,0.0
68,63,30,71,2008,0.0
68,63,30,71,2009,0.0
68,63,30,71,2010,0.0
68,63,30,71,2011,0.0
68,63,30,71,2012,0.0
68,63,30,71,2013,0.0
68,63,30,71,2014,0.0
68,63,30,71,2015,0.0
68,63,30,71,2016,0.0
68,64,28,4,2000,0.0
68,64,28,4,2001,0.0
68,64,28,4,2002,0.0
68,64,28,4,2003,0.0
68,64,28,4,2004,0.0
68,64,28,4,2005,0.0
68,64,28,4,2006,0.0
68,64,28,4,2007,0.0
68,64,28,4,2008,0.0
68,64,28,4,2009,0.0
68,64,28,4,2010,0.0
68,64,28,4,2011,0.0
68,64,28,4,2012,0.0
68,64,28,4,2013,0.0
68,64,28,4,2014,0.0
68,64,28,4,2015,0.0
68,64,28,4,2016,0.0
68,64,28,10,2000,0.0
68,64,28,10,2001,0.0
68,64,28,10,2002,0.0
68,64,28,10,2003,0.0
68,64,28,10,2004,0.0
68,64,28,10,2005,0.0
68,64,28,10,2006,0.0
68,64,28,10,2007,0.0
68,64,28,10,2008,0.0
68,64,28,10,2009,0.0
68,64,28,10,2010,0.0
68,64,28,10,2011,0.0
68,64,28,10,2012,0.0
68,64,28,10,2013,0.0
68,64,28,10,2014,0.0
68,64,28,10,2015,0.0
68,64,28,10,2016,0.0
68,64,28,71,2000,0.0
68,64,28,71,2001,0.0
68,64,28,71,2002,0.0
68,64,28,71,2003,0.0
68,64,28,71,2004,0.0
68,64,28,71,2005,0.0
68,64,28,71,2006,0.0
68,64,28,71,2007,0.0
68,64,28,71,2008,0.0
68,64,28,71,2009,0.0
68,64,28,71,2010,0.0
68,64,28,71,2011,0.0
68,64,28,71,2012,0.0
68,64,28,71,2013,0.0
68,64,28,71,2014,0.0
68,64,28,71,2015,0.0
68,64,28,71,2016,0.0
68,64,29,4,2000,0.0
68,64,29,4,2001,0.0
68,64,29,4,2002,0.0
68,64,29,4,2003,0.0
68,64,29,4,2004,0.0
68,64,29,4,2005,0.0
68,64,29,4,2006,0.0
68,64,29,4,2007,0.0
68,64,29,4,2008,0.0
68,64,29,4,2009,0.0
68,64,29,4,2010,0.0
68,64,29,4,2011,0.0
68,64,29,4,2012,0.0
68,64,29,4,2013,0.0
68,64,29,4,2014,0.0
68,64,29,4,2015,0.0
68,64,29,4,2016,0.0
68,64,29,10,2000,0.0
68,64,29,10,2001,0.0
68,64,29,10,2002,0.0
68,64,29,10,2003,0.0
68,64,29,10,2004,0.0
68,64,29,10,2005,0.0
68,64,29,10,2006,0.0
68,64,29,10,2007,0.0
68,64,29,10,2008,0.0
68,64,29,10,2009,0.0
68,64,29,10,2010,0.0
68,64,29,10,2011,0.0
68,64,29,10,2012,0.0
68,64,29,10,2013,0.0
68,64,29,10,2014,0.0
68,64,29,10,2015,0.0
68,64,29,10,2016,0.0
68,64,29,71,2000,0.0
68,64,29,71,2001,0.0
68,64,29,71,2002,0.0
68,64,29,71,2003,0.0
68,64,29,71,2004,0.0
68,64,29,71,2005,0.0
68,64,29,71,2006,0.0
68,64,29,71,2007,0.0
68,64,29,71,2008,0.0
68,64,29,71,2009,0.0
68,64,29,71,2010,0.0
68,64,29,71,2011,0.0
68,64,29,71,2012,0.0
68,64,29,71,2013,0.0
68,64,29,71,2014,0.0
68,64,29,71,2015,0.0
68,64,29,71,2016,0.0
68,64,30,4,2000,0.0
68,64,30,4,2001,0.0
68,64,30,4,2002,0.0
68,64,30,4,2003,0.0
68,64,30,4,2004,0.0
68,64,30,4,2005,0.0
68,64,30,4,2006,0.0
68,64,30,4,2007,0.0
68,64,30,4,2008,0.0
68,64,30,4,2009,0.0
68,64,30,4,2010,0.0
68,64,30,4,2011,0.0
68,64,30,4,2012,0.0
68,64,30,4,2013,0.0
68,64,30,4,2014,0.0
68,64,30,4,2015,0.0
68,64,30,4,2016,0.0
68,64,30,10,2000,0.0
68,64,30,10,2001,0.0
68,64,30,10,2002,0.0
68,64,30,10,2003,0.0
68,64,30,10,2004,0.0
68,64,30,10,2005,0.0
68,64,30,10,2006,0.0
68,64,30,10,2007,0.0
68,64,30,10,2008,0.0
68,64,30,10,2009,0.0
68,64,30,10,2010,0.0
68,64,30,10,2011,0.0
68,64,30,10,2012,0.0
68,64,30,10,2013,0.0
68,64,30,10,2014,0.0
68,64,30,10,2015,0.0
68,64,30,10,2016,0.0
68,64,30,71,2000,0.0
68,64,30,71,2001,0.0
68,64,30,71,2002,0.0
68,64,30,71,2003,0.0
68,64,30,71,2004,0.0
68,64,30,71,2005,0.0
68,64,30,71,2006,0.0
68,64,30,71,2007,0.0
68,64,30,71,2008,0.0
68,64,30,71,2009,0.0
68,64,30,71,2010,0.0
68,64,30,71,2011,0.0
68,64,30,71,2012,0.0
68,64,30,71,2013,0.0
68,64,30,71,2014,0.0
68,64,30,71,2015,0.0
68,64,30,71,2016,0.0
69,63,28,4,2000,732899.664649
69,63,28,4,2001,744348.478117
69,63,28,4,2002,754819.304943
69,63,28,4,2003,764758.320454
69,63,28,4,2004,774422.161823
69,63,28,4,2005,784407.031723
69,63,28,4,2006,794866.816041
69,63,28,4,2007,805247.91184
69,63,28,4,2008,815600.086805
69,63,28,4,2009,825596.060378
69,63,28,4,2010,835332.502634
69,63,28,4,2011,844593.752878
69,63,28,4,2012,853898.467603
69,63,28,4,2013,863324.80251
69,63,28,4,2014,872863.920218
69,63,28,4,2015,882787.009478
69,63,28,4,2016,892666.719988
69,63,28,10,2000,43013.1084731
69,63,28,10,2001,43685.0277502
69,63,28,10,2002,44299.4097075
69,63,28,10,2003,44881.5774325
69,63,28,10,2004,45445.0194603
69,63,28,10,2005,46022.7235304
69,63,28,10,2006,46621.6340474
69,63,28,10,2007,47207.4725945
69,63,28,10,2008,47782.0974973
69,63,28,10,2009,48326.4240886
69,63,28,10,2010,48847.8263067
69,63,28,10,2011,49337.1349656
69,63,28,10,2012,49829.9418831
69,63,28,10,2013,50337.0839121
69,63,28,10,2014,50864.3243575
69,63,28,10,2015,51432.4809691
69,63,28,10,2016,52018.5818764
69,63,28,71,2000,160779.987168
69,63,28,71,2001,163992.713229
69,63,28,71,2002,166991.827251
69,63,28,71,2003,169874.785706
69,63,28,71,2004,172697.828309
69,63,28,71,2005,175591.656798
69,63,28,71,2006,178590.689383
69,63,28,71,2007,181575.036533
69,63,28,71,2008,184556.528199
69,63,28,71,2009,187464.113952
69,63,28,71,2010,190318.083498
69,63,28,71,2011,193068.297748
69,63,28,71,2012,195821.681902
69,63,28,71,2013,198584.680316
69,63,28,71,2014,201340.109286
69,63,28,71,2015,204128.162225
69,63,28,71,2016,206835.205643
69,63,29,4,2000,104459.100535
69,63,29,4,2001,106087.012879
69,63,29,4,2002,107575.527223
69,63,29,4,2003,108988.227159
69,63,29,4,2004,110361.670257
69,63,29,4,2005,111780.806357
69,63,29,4,2006,113267.537355
69,63,29,4,2007,114742.926908
69,63,29,4,2008,116214.049477
69,63,29,4,2009,117634.256131
69,63,29,4,2010,119017.35317
69,63,29,4,2011,120332.665113
69,63,29,4,2012,121654.221829
69,63,29,4,2013,122993.30484
69,63,29,4,2014,124348.821865
69,63,29,4,2015,125759.596035
69,63,29,4,2016,127164.85463
69,63,29,10,2000,0.0
69,63,29,10,2001,0.0
69,63,29,10,2002,0.0
69,63,29,10,2003,0.0
69,63,29,10,2004,0.0
69,63,29,10,2005,0.0
69,63,29,10,2006,0.0
69,63,29,10,2007,0.0
69,63,29,10,2008,0.0
69,63,29,10,2009,0.0
69,63,29,10,2010,0.0
69,63,29,10,2011,0.0
69,63,29,10,2012,0.0
69,63,29,10,2013,0.0
69,63,29,10,2014,0.0
69,63,29,10,2015,0.0
69,63,29,10,2016,0.0
69,63,29,71,2000,55156.7236075
69,63,29,71,2001,56256.8468384
69,63,29,71,2002,57283.6851333
69,63,29,71,2003,58270.6663402
