subsector_id,gau,oth_1,oth_2,demand_technology,year,value,id
33,pacific,single-family,,Solar Water Heater with Electric Backup,2009,54377.0,488
33,pacific,multi-family,,Reference Distillate Water Heater,2009,0.0,489
33,pacific,mobile home,,Reference LPG Water Heater,2009,144889.0,490
33,pacific,single-family,,Reference Electric Resistance Water Heater,2009,2410000.0,491
33,new england,mobile home,,Reference Electric Resistance Water Heater,2009,62809.0,492
33,new england,multi-family,,Reference Gas Water Heater,2009,1280000.0,493
33,new england,multi-family,,Reference LPG Water Heater,2009,53166.0,494
33,new england,mobile home,,Solar Water Heater with Electric Backup,2009,0.0,495
33,new england,single-family,,Reference Distillate Water Heater,2009,1310000.0,496
33,middle atlantic,mobile home,,Reference Electric Resistance Water Heater,2009,295020.0,497
33,middle atlantic,multi-family,,Reference Gas Water Heater,2009,3590000.0,498
33,middle atlantic,multi-family,,Reference LPG Water Heater,2009,50703.0,499
33,middle atlantic,mobile home,,Solar Water Heater with Electric Backup,2009,0.0,500
33,middle atlantic,single-family,,Reference Distillate Water Heater,2009,1260000.0,501
33,east north central,mobile home,,Reference Electric Resistance Water Heater,2009,279246.0,502
33,east north central,multi-family,,Reference Gas Water Heater,2009,2700000.0,503
33,east north central,multi-family,,Reference LPG Water Heater,2009,98176.0,504
33,east north central,mobile home,,Solar Water Heater with Electric Backup,2009,0.0,505
33,east north central,single-family,,Reference Distillate Water Heater,2009,12582.0,506
33,west north central,mobile home,,Reference Electric Resistance Water Heater,2009,274357.0,507
33,west north central,multi-family,,Reference Gas Water Heater,2009,777920.0,508
33,west north central,multi-family,,Reference LPG Water Heater,2009,13829.0,509
33,west north central,mobile home,,Solar Water Heater with Electric Backup,2009,0.0,510
33,west north central,single-family,,Reference Distillate Water Heater,2009,0.0,511
33,south atlantic,mobile home,,Reference Electric Resistance Water Heater,2009,2330000.0,512
33,south atlantic,multi-family,,Reference Gas Water Heater,2009,1050000.0,513
33,south atlantic,multi-family,,Reference LPG Water Heater,2009,14467.0,514
33,south atlantic,mobile home,,Solar Water Heater with Electric Backup,2009,0.0,515
33,south atlantic,single-family,,Reference Distillate Water Heater,2009,65447.0,516
