demand_technology,definition,reference_tech_id,geography,other_index_1,other_index_2,final_energy,utility_factor,is_numerator_service,numerator_unit,denominator_unit,interpolation_method,extrapolation_method,extrapolation_growth,age_growth_or_decay_type,age_growth_or_decay,geography_map_key
Industrial Distillate Oven/Furnace,absolute,,us,,,diesel fuel,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Industrial LPG Oven/Furnace,absolute,,us,,,biomass - wood,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Industrial Gas Oven/Furnace,absolute,,us,,,pipeline gas,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Industrial Other Petroleum Oven/Furnace,absolute,,us,,,other petroleum,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Industrial Residual Fuel Oil Oven/Furnace,absolute,,us,,,residual fuel oil,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Industrial Electric Resistance Heat/Melt,absolute,,us,,,electricity,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Industrial Coal Oven/Furnace,absolute,,us,,,coal,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Electric Machine Drive,absolute,,us,,,electricity,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Natural Gas Machine Drive,absolute,,us,,,pipeline gas,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
LPG Machine Drive,absolute,,us,,,lpg fuel,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Distillate Machine Drive,absolute,,us,,,diesel fuel,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Electric Light-Duty Auto - 100 mile range,absolute,,us,,,electricity,1.0,True,mile,US_gge,linear_interpolation,nearest,,,,
Electric Light-Duty Auto - 300 mile range,absolute,,us,,,electricity,1.0,True,mile,US_gge,linear_interpolation,nearest,,,,
Electric Light-Duty Truck - 100 mile range,absolute,,us,,,electricity,1.0,True,mile,US_gge,linear_interpolation,nearest,,,,
